ticket_id	Driver	Category	Feature	Summary
10000	Product Temporary Issue	CI	GHA, Build environment, runners	Multiple tenants stated widespread process failures across numerous repositories due to inability to acquire GitHub Actions runners during NFT launches and extended test runs, with errors stating jobs were not acquired by runners even after numerous attempts. The infrastructure team recognized that these failures were caused by a substantial GitHub outage that occurred during the affected time period and was resolved by GitHub, indicating this was an external dependency problem rather than a platform setup or capacity challenge.
10001	Product Temporary Issue	Tenancy & Onboarding	tenancy management	"The customer's build failed with a 401 issue stating ""unable to determine team name from repository"" after renaming their code repository from id-personas to id-persona-management and updating the tenant configuration in dpe-platform-config. The support team verified that the tenant resource had been successfully deployed to the cluster with the updated repository name, and the problem resolved itself once the configuration changes were fully applied, indicating a momentary synchronization delay between the setup update and cluster rollout."
10002	Knowledge Gap	CI	Artifactory, Artifact Store	The tenant observed periodic 403 errors when downloading Gradle distributions during canary deployments, with builds failing because services.gradle.org redirects to GitHub where WAF rules occasionally block requests deemed suspicious. The user was unaware that the platform provides an internal Artifactory pull-through cache for Gradle distributions to avoid these GitHub WAF blocks, and had missed communications about switching their gradle-wrapper.properties distributionUrl from services.gradle.org to the platform's Artifactory instance, though docs had been updated with the recommended URL.
10003	Knowledge Gap	Configuring Platform Features	Kafka as a service	The user came across an issue while enabling a new component and initially sought the platform engineers to verify whether Kafka ACL changes from many PRs to the kaas-platform code repository had been deployed to production. The tenant resolved the issue independently after discovering the source of the matter was on their side, indicating they initially misattributed the complication to platform installation status rather than their own config.
10004	Knowledge Gap	CD	Pipeline shapes	"The client's cdDeployDev phase was not executing their defaultTaskExecution script as expected, showing only ""No pre-script defined"" instead of running the deployment logic they had defined inline in their cd.yml setup. The support team explained that the ""No pre-script defined"" message referred to an optional pre-execution script rather than the default task itself, and recommended moving the script to an in-repo file and referencing it, which resolved the matter and allowed the CoreIngress release to proceed successfully."
10005	Knowledge Gap	CI	Pipeline shapes	The user wanted to pass a specific path value to the cdBuild.sh script in the build-release-shape reusable job sequence to enable concurrent job execution per area/team/env, but was unsure how to pass environment variables to the reusable workflow. The infrastructure team steered the tenant to use workflow parameters as the recommended approach, providing an example from the core-platform source repository, which corrected successfully the matter.
10006	Knowledge Gap	Deploying & Configuring Tenant Applications	workload compute	The user inquired how to request dedicated nodes with node affinity/taints and whether they could configure specific terminationGracePeriodSeconds values different from the default 30 seconds. The platform engineers explained that dedicated node pools are not generally available (only a special case exists for non-routable nodes for one tenant), that terminationGracePeriodSeconds is a standard Kubernetes pod spec field tenants can configure freely in their release manifests, and that ClusterAutoscaler enforces a maximum 10-minute wait before forceful termination during node scale-down.
10007	Product Temporary Issue	CI	GHA, Build environment, runners	Various pipelines failed with irregular 504 errors when downloading JFrog CLI binaries from releases.jfrog.io, an external dependency used in DPE base workflows for phase-lock functionality. The infrastructure team verified this was a known challenge where traffic gets flagged as suspicious by third-party WAF policies, causing unauthenticated downloads to fail temporarily, and recommended rerunning failed jobs while tracking a longer-term solution to move the resource to Artifactory and enable dependency caching.
10008	Product Temporary Issue	CI	GHA, Build environment, runners	Numerous workflows failed during NFT launches with 502 and 504 errors when downloading JFrog CLI for obtaining pipeline locks, affecting several repositories. The support team validated this was a known situation where traffic gets flagged as suspicious by third-party WAF policies when downloading from releases.jfrog.io, causing irregular unauthenticated download failures, and guided the team to track progress via a backlog card addressing the issue for all tenants.
10009	Knowledge Gap	Monitoring & Troubleshooting Tenant Applications	None	The user had an old link to their gst-data-dbt tenant logs that was returning a 502 problem and was unsure how to access GCP logs for their service using the current logging platform. The infrastructure team furnished a Datadog query filtering by service name and cloud provider that successfully returned the tenant's GCP logs, resolving the concern.
